id,amount_cents,type,category_id,merchant,note,occurred_at,is_draft,source,created_at,updated_at,deleted_at
761ba86b-c9da-4478-b5f7-b5f39373210c,900,expense,,,,2026-09-08T21:46:44.000,true,manual,2026-09-08T21:46:44.000,2026-09-08T21:46:44.000,
5fab2585-495d-4e51-9e2e-7ed97dfc0979,1500,expense,,,,2026-09-08T21:57:29.000,true,manual,2026-09-08T21:57:29.000,2026-09-08T21:57:29.000,
02f09f3f-9499-4d69-aee7-fd344643c5d4,1500,expense,,,,2026-09-09T09:08:22.000,true,manual,2026-09-09T09:08:22.000,2026-09-09T09:08:22.000,
b206935a-dca6-4cbf-bfd8-f8a8ccbc68b7,1500,expense,,,,2026-09-09T09:09:28.000,true,manual,2026-09-09T09:09:28.000,2026-09-09T09:09:28.000,
2e1ba352-2bb2-4194-a725-ee6eb9297a40,1500,expense,,,,2026-09-09T09:10:38.000,true,manual,2026-09-09T09:10:38.000,2026-09-09T09:10:38.000,
864bb142-005e-49c4-873a-87a4908868a1,1500,expense,,,,2026-09-09T09:11:39.000,true,manual,2026-09-09T09:11:39.000,2026-09-09T09:11:39.000,
076e1467-dad5-4d46-b664-7080f1bf7025,1500,expense,,,,2026-09-09T09:12:51.000,true,manual,2026-09-09T09:12:51.000,2026-09-09T09:12:51.000,
1e93ee9e-3c6f-49c8-bbe6-b1560cbb4953,1500,expense,,,,2026-09-09T09:14:36.000,true,manual,2026-09-09T09:14:36.000,2026-09-09T09:14:36.000,
59def422-ee09-4fae-941d-872278e732f0,1500,expense,,,,2026-09-09T09:15:53.000,true,manual,2026-09-09T09:15:53.000,2026-09-09T09:15:53.000,
f2df4e5a-a06e-486e-86df-aa57f649b53c,1500,expense,,,,2026-09-09T09:17:15.000,true,manual,2026-09-09T09:17:15.000,2026-09-09T09:17:15.000,
40e35994-4f54-4584-97f5-0ce5f7a874e1,1500,expense,,,,2026-09-09T09:19:07.000,true,manual,2026-09-09T09:19:07.000,2026-09-09T09:19:07.000,
743912c9-e590-4a07-8844-37d5e7347abf,1500,expense,,,,2026-09-09T09:20:36.000,true,manual,2026-09-09T09:20:36.000,2026-09-09T09:20:36.000,
21654725-b760-4901-838a-276f75df7af6,1500,expense,9698ccb7-0755-468e-bef1-63e648711b46,,,2026-09-09T09:25:55.000,false,manual,2026-09-09T09:25:55.000,2026-09-09T09:26:05.000,
0038c0bb-eed8-40d5-b834-9bb0742ac758,1500,expense,9698ccb7-0755-468e-bef1-63e648711b46,,,2026-09-09T09:27:08.000,false,manual,2026-09-09T09:27:08.000,2026-09-09T09:27:17.000,
882d926f-9ee8-4165-a46a-a64741dc2f9a,1500,expense,9698ccb7-0755-468e-bef1-63e648711b46,,,2026-09-09T09:30:36.000,false,manual,2026-09-09T09:30:36.000,2026-09-09T09:30:45.000,
e8755d4c-c993-4f22-92fe-099af9c65821,1500,expense,9698ccb7-0755-468e-bef1-63e648711b46,,,2026-09-09T09:32:38.000,false,manual,2026-09-09T09:32:38.000,2026-09-09T09:32:47.000,
8d011e5f-23fe-4479-a317-30c6abc5c681,1500,expense,9698ccb7-0755-468e-bef1-63e648711b46,,,2026-09-09T09:35:08.000,false,manual,2026-09-09T09:35:08.000,2026-09-09T09:35:17.000,
f5cc3098-fa06-4c19-8dae-a60bdae00cbf,1500,expense,9698ccb7-0755-468e-bef1-63e648711b46,,,2026-09-09T09:36:48.000,false,manual,2026-09-09T09:36:48.000,2026-09-09T09:36:58.000,
21286265-87fe-4916-9aa4-2d228237e387,1500,expense,9698ccb7-0755-468e-bef1-63e648711b46,,,2026-09-09T10:09:19.000,false,manual,2026-09-09T10:09:19.000,2026-09-09T10:09:28.000,
5929fd8f-9bdc-4c1d-b237-b957f61c3eb9,1500,expense,9698ccb7-0755-468e-bef1-63e648711b46,,,2026-09-09T12:33:17.000,false,manual,2026-09-09T12:33:17.000,2026-09-09T12:33:27.000,
1ea51c2f-46be-42f9-8cc6-0cfb25ed1691,1500,expense,9698ccb7-0755-468e-bef1-63e648711b46,,,2026-09-10T14:42:30.000,false,manual,2026-09-10T14:42:30.000,2026-09-10T14:42:39.000,
