# T-13a regression frames: T-04 / T-10b / T-12c re-run after the T-13a changes.
# runner: flutter test integration_test/<file>.dart -d windows   (all passed)
#         logs: evidence/regression/t04_assets_test.t13a.log,
#               evidence/regression/t10b_home_test.t13a.log,
#               evidence/regression/t12c_shell_test.t13a.log
# Original ticket records (evidence/t10b|t12c/.t*_frame_md5.txt and the T-12c
# regression manifest) are NOT overwritten; the "prev" column repeats what they
# recorded so each delta is auditable.
#
# deltas vs the previous run:
#   t04 state2/state3 : part 1 - the net value is now the serif + gold-gradient
#                       brand number, so the assets dashboard pixels changed.
#   t10b 03_overspent : unchanged source path; this frame is captured over the
#                       donut/progress animation and has always been a
#                       mid-animation frame (same class of jitter accepted in
#                       the T-12 record). 01/02/04 reproduce byte-identical.
#   t12c 01_tab_assets: T-04 seeds an asset and never tombstones it, so by the
#                       time T-12c ran the development database still held a
#                       live sold asset - the assets tab therefore shows the
#                       real row instead of the empty state (see duplicates).
#   t12c 03_month_sheet: background data behind the sheet differs (same reason)
#                       plus the sheet's internal scroll wrapper; the sheet's
#                       own geometry is unchanged (342dp at this window).
#
# duplicate md5s inside this set (same screen, same state - both explained):
#   5480480ccf84 = t04 state1_home  == t10b 01_onboarding  (home onboarding frame)
#   8fa0b4ae1011 = t04 state4_sold  == t12c 01_tab_assets  (T-04's left-over sold
#                  asset is still live, so both scripts render the same assets
#                  page). Recommendation: retire the dev rows before a full
#                  regression (tool/clean_dev_db.py --apply; its report path is
#                  hardcoded to evidence/t09e and should be parameterised first).
#
# frame                          md5            prev           bytes
.t04_state1_home.png            5480480ccf84  -              35710
.t04_state2_assets_dashboard.png 28914690a7c2  -              23540
.t04_state3_assets_with_cpd.png 1ffb1f469512  -              32575
.t04_state4_sold_realized.png   8fa0b4ae1011  -              31227
.t10b_01_onboarding.png         5480480ccf84  5480480ccf84   35710
.t10b_02_budget_set.png         2ba2a1cf8de0  2ba2a1cf8de0   39933
.t10b_03_overspent.png          852bbf624be3  4ea9c95728cc   39314
.t10b_04_donut_empty.png        2cbefb7591b7  2cbefb7591b7   36573
.t12c_01_tab_assets.png         8fa0b4ae1011  8e544e66869d   31227
.t12c_02_entry_pushed.png       c9330abf629d  c9330abf629d   35821
.t12c_03_month_sheet.png        3d9790f7d423  497284de0898   44484
.t12c_04_history_month.png      ab3efb6fd6cd  ab3efb6fd6cd   35588

# unique md5s: 10 of 12 frames
